order_book_id,underlying_symbol,market_tplus,symbol,margin_rate,maturity_date,type,trading_code,exchange,product,contract_multiplier,round_lot,trading_hours,listed_date,industry_name,de_listed_date,underlying_order_book_id,start_delivery_date,end_delivery_date
BB1504,BB,0.0,胶合板1504,0.05,2015-04-15,Future,bb1504,DCE,Commodity,500.0,1.0,"09:01-10:15,10:31-11:30,13:31-15:00",2014-04-16,建材,2015-04-15,null,2015-04-16,2015-04-20
BB1505,BB,0.0,胶合板1505,0.05,2015-05-15,Future,bb1505,DCE,Commodity,500.0,1.0,"09:01-10:15,10:31-11:30,13:31-15:00",2014-05-19,建材,2015-05-15,null,2015-05-18,2015-05-20
BB1506,BB,0.0,胶合板1506,0.1,2015-06-12,Future,bb1506,DCE,Commodity,500.0,1.0,"09:01-10:15,10:31-11:30,13:31-15:00",2014-06-17,建材,2015-06-12,null,2015-06-15,2015-06-17
BB1507,BB,0.0,胶合板1507,0.1,2015-07-14,Future,bb1507,DCE,Commodity,500.0,1.0,"09:01-10:15,10:31-11:30,13:31-15:00",2014-07-15,建材,2015-07-14,null,2015-07-15,2015-07-17
BB1508,BB,0.0,胶合板1508,0.1,2015-08-14,Future,bb1508,DCE,Commodity,500.0,1.0,"09:01-10:15,10:31-11:30,13:31-15:00",2014-08-15,建材,2015-08-14,null,2015-08-17,2015-08-19
BB1509,BB,0.0,胶合板1509,0.1,2015-09-16,Future,bb1509,DCE,Commodity,500.0,1.0,"09:01-10:15,10:31-11:30,13:31-15:00",2014-09-16,建材,2015-09-16,null,2015-09-17,2015-09-21
BB1510,BB,0.0,胶合板1510,0.1,2015-10-21,Future,bb1510,DCE,Commodity,500.0,1.0,"09:01-10:15,10:31-11:30,13:31-15:00",2014-10-22,建材,2015-10-21,null,2015-10-22,2015-10-26
BB1511,BB,0.0,胶合板1511,0.1,2015-11-13,Future,bb1511,DCE,Commodity,500.0,1.0,"09:01-10:15,10:31-11:30,13:31-15:00",2014-11-17,建材,2015-11-13,null,2015-11-16,2015-11-18
BB1512,BB,0.0,胶合板1512,0.1,2015-12-14,Future,bb1512,DCE,Commodity,500.0,1.0,"09:01-10:15,10:31-11:30,13:31-15:00",2014-12-15,建材,2015-12-14,null,2015-12-15,2015-12-17
BB88,BB,0.0,胶合板主力连续,0.4,0000-00-00,Future,BB2504,DCE,Commodity,500.0,1.0,"09:01-10:15,10:31-11:30,13:31-15:00",0000-00-00,建材,0000-00-00,,0000-00-00,0000-00-00
BB888,BB,0.0,胶合板主力连续价差平滑,0.4,0000-00-00,Future,BB2504,DCE,Commodity,500.0,1.0,"09:01-10:15,10:31-11:30,13:31-15:00",0000-00-00,建材,0000-00-00,,0000-00-00,0000-00-00
BB889,BB,0.0,胶合板主力连续价差平滑（后复权）,0.4,0000-00-00,Future,BB2504,DCE,Commodity,500.0,1.0,"09:01-10:15,10:31-11:30,13:31-15:00",0000-00-00,建材,0000-00-00,,0000-00-00,0000-00-00
BB88A2,BB,0.0,胶合板次主力连续,0.4,0000-00-00,Future,BB2511,DCE,Commodity,500.0,1.0,"09:01-10:15,10:31-11:30,13:31-15:00",0000-00-00,建材,0000-00-00,,0000-00-00,0000-00-00
BB99,BB,0.0,胶合板指数连续,0.4,0000-00-00,Future,bb2207,DCE,Commodity,500.0,1.0,"09:01-10:15,10:31-11:30,13:31-15:00",0000-00-00,建材,0000-00-00,,0000-00-00,0000-00-00
BC88,BC,0.0,bc主力连续,0.09,0000-00-00,Future,BC2505,INE,Commodity,5.0,1.0,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",0000-00-00,有色,0000-00-00,,0000-00-00,0000-00-00
BC888,BC,0.0,bc主力连续价差平滑,0.09,0000-00-00,Future,BC2505,INE,Commodity,5.0,1.0,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",0000-00-00,有色,0000-00-00,,0000-00-00,0000-00-00
BC889,BC,0.0,bc主力连续价差平滑（后复权）,0.09,0000-00-00,Future,BC2505,INE,Commodity,5.0,1.0,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",0000-00-00,有色,0000-00-00,,0000-00-00,0000-00-00
BC88A2,BC,0.0,bc次主力连续,0.09,0000-00-00,Future,BC2506,INE,Commodity,5.0,1.0,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",0000-00-00,有色,0000-00-00,,0000-00-00,0000-00-00
BC99,BC,0.0,bc指数连续,0.09,0000-00-00,Future,bc2205,INE,Commodity,5.0,1.0,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",0000-00-00,有色,0000-00-00,,0000-00-00,0000-00-00
BR88,BR,0.0,br主力连续,0.11000000000000001,0000-00-00,Future,BR2505,SHFE,Commodity,5.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",0000-00-00,unknown,0000-00-00,,0000-00-00,0000-00-00
BR888,BR,0.0,br主力连续价差平滑,0.11000000000000001,0000-00-00,Future,BR2505,SHFE,Commodity,5.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",0000-00-00,unknown,0000-00-00,,0000-00-00,0000-00-00
BR889,BR,0.0,br主力连续价差平滑（后复权）,0.11000000000000001,0000-00-00,Future,BR2505,SHFE,Commodity,5.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",0000-00-00,unknown,0000-00-00,,0000-00-00,0000-00-00
BR88A2,BR,0.0,br次主力连续,0.11000000000000001,0000-00-00,Future,BR2506,SHFE,Commodity,5.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",0000-00-00,unknown,0000-00-00,,0000-00-00,0000-00-00
BR99,BR,0.0,br指数连续,0.11000000000000001,0000-00-00,Future,,SHFE,Commodity,5.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",0000-00-00,unknown,0000-00-00,,0000-00-00,0000-00-00
BU1501,BU,0.0,石油沥青1501,0.04,2015-01-15,Future,bu1501,SHFE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2014-07-16,化工,2015-01-15,null,2015-01-16,2015-01-22
